accession_number	short_title	description	fabric
REDMG:1951.138.1	Apulian red figure; added colour mug lid	Black band around upper part of knob, around rounded part of knob, and around middle of stem, as well as bottom of stem. Lid decorated with two women\\'s heads, profile to left, between palmettes enclosed in triangles. Each woman wears a spiked stephane and a sakkos on her hair, as well as beaded earrings and necklaces and head. Added colour (yellow on white) for details of headdresses and jewelery. Reserved areas reddened.	Apulian
REDMG:1951.139.1	Apulian red figure lekanis lid	Black, except for double palmette on top of knob, reserved line on groove below stem. On top of lid, two female heads, each wearing a sakkos, one with a spiked stephane, profile to left, between palmettes. More tendrils and vegetal ornament, emerge from the palmettes. Wave to right, around lip. Added colour only for stephane.	Apulian
REDMG:1951.140.1	Apulian red figure; added white hydria	Upper surface of rim reserved, black ridge,  and outer edge of lip decorated with a wave pattern to right; black below lip, on neck and on handles except forward handle attachments (on horizontal handles) decorated with rays; reserved patches beneath horizontal handles. Lower part of neck decorated at front with a short laurel wreath, to left, between two narrow reserved bands. Beneath the figural scene is a groundline comprised of a frieze of alternating maeanders (three) and saltire squares (one). Narrow reserved line at join with base, bottom edge of base, and underside. The figural scene is framed between a tendril, above the left handle, and a larger vegetal ornament, from which emerges a lotus bud. A Youth stands in 3\\/4-view to the right. He is nude, except for drapery slung over his bent right arm and held in his lowered left hand, and a white taenia on his head. He also holds a staff in his slightly upraised right hand. At centre is a bird (crane), seated in a perirhanterion (basin), supported by a fluted, tapered column, with a dotted capital, on a two-stepped base. The steps are decorated with small black spots and thin diagonal lines that suggest a marbled appearance. On the other side of the perirhanterion stands a woman, in 3\\/4-view to the left, with her weight on her right leg and her left leg relaxed. She wears a belted, sleeveless chiton, double bracelets on each wrist, a beaded necklace, and a spiked stephane, as well as a short pony tail. She extends her right hand to the bird and holds a box, decorated on the sides with black spots and lines, and three white spots on top, in her slightly upraised right hand. Above the bird is a rectangular frame (sometimes called a window but perhaps a votive plaque); above the box is a cogwheel.  Most of the reserved areas are darkened with red wash, and the jewelry and other details in added white.	Apulian
REDMG:1951.141	Apulian red figure bell krater	Black on interior except for a reserved band just below the lip. Black on exterior, except for a frieze of tongues underneath the rim on both sides, but not above handles; figural scenes on body. A: Partridge profile to the left; tendrils in lower left field; circle and tendrils in upper right field. B: Satyr head, profile to left; tendrils in lower left and right fields; quarter palmette in upper left field; single palm leaf in upper right field.\\n\\nAlthough female heads are more popular in such contexts, the large red element in place of the ear is probably a horn and indicates that this is a representation of a satyr. The decoration in the lower left field of the B side indicates the addition of a second layer of black glaze, in a manner than changes the image (from a large tendril to a small tendril below  an L-shaped element.	Apulian
REDMG:1951.142.1	Apulian red figure oinochoe	Black except for body scene (ruddled), and reserved resting surface and underside. Scene depicts a female figure, profile to left, between tendrils from which emerge flower buds; a bull\\u0092s eye in the lower left field. The woman wears a veil over her head and across her shoulders; some curly hair emerges from the edge of the veil.	Apulian
REDMG:1951.143.1	Apulian gnathian; black gloss; overpainted trefoil oinochoe	Shoulder decorated with yellow ivy wreath from which dangles an actor\\'s mask at centre: white face to left with yellowish-brown hair, head and features. On either side, a pair of purple-red fillets with white dots and white strings at the bottom, inside long yellow dotted branches. White line around shoulder, above vertical ribbing. Otherwise black glazed except for reserved areas in uneven band around join of at bottom of ribbing, foot and underside.	Apulian
REDMG:1951.144.1	Apulian; Tarentine red figure fish plate	Exterior black glaze with red figure decoration all over; underside reserved, except for broad black band at curve from plate to stem, black on exterior and interior vertical surfaces of foot, and broad black band around pointed centre of plate. 12-petal rosette in central well, surrounded by red band, wave pattern to left, and black and red bands; figural scene showing three different types of fish (bream in profile, xxx and cuttle fish, shown from above) advancing to the left. Mussel and 6-petal rosette in field, on either side of the xxx. Rim decorated with red band above a laurel band to left floral motif.\\n\\nRed parts of decorative bands ruddled, whereas streaky brown has been used for artistic effect (shading to render a three-dimensional impression) on the fish. Some details on central rosettes and fish rendered with added white and yellow.	Apulian; Tarentine
REDMG:1951.145	Corinthian pyxis lid	Large black dot in centre of inset top, surrounded by concentric bands\\/lines: one black band, one black line, one red band, one black line; frieze of alternating\\/interlocking \\'L\\' shapes; two black lines and then the red flange. Walls decorated with red band between two pairs of black bands, with intervening black lines. Red rim. Interior reserved, except for (accidental) red smear just beyond rim.	Corinthian
REDMG:1951.146	Corinthian mc skyphos	Black interior. Exterior: vertical worms, double-row checkerboard between two black bands, red band between two reserved bands, black line, reserved band, black band, rays rising from a red band; reserved line at join with foot; black band around foot. Central black dot and ring on underside; interior of foot black; vertical bars on handles.	Corinthian
REDMG:1951.147.1	Apulian red figure; plastic; added white epichysis	Entirely black, except reserved on the inside of the spout and the underside including resting surface, and red figure decoration: line at middle of neck; ray band at lowest part of neck, above dots; figural scene between two sideways palmettes, enclosed, from the outside bottom of each emerges tendrils; short ray band at interior of lower handle attachment; 10-leaf palmette at exterior of lower handle attachment; flange decorated with egg-and-dot band, beneath a black line; the sides are decorated with an ivy design, effected through incision (tendrils) and added white (leaves). Reserved line band just below join of body and foot.\\n\\nThe figural scene on the shoulder depicts seated youth seated profile to the right, facing a woman, seated profile to the right, but turning profile to the left. The youth, nude except for a hairband, sits on drapery, alongside which he hangs his left arm, and reaches a wreath, held in his left hand, towards the woman; she, wearing a crenellated stephane and a belted chiton, is seated perhaps on a cushion (comprised of dots), helds her right arm, slightly lowered, towards the wreath, and holds a box in her slightly raised left hand. A four-petal rosette is beneath her right arm.	Apulian
